AuthorID,Author,Date,Content,Attachments,Reactions
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:06 PM","C: *runs a hand through his hair* I suppose so...","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:06 PM","A: Ughhhhh you're so gloomy. It's irritating. Work with me here, I don't know how to do the empathy thing.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:08 PM","C: *smiles a little*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:09 PM","C: Funny... I feel like... before... this was different, with the voices in my head.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:10 PM","A: I know it was. Saw the memory bin, remember?","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:10 PM","A: ...","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:11 PM","A: *annoyed* I may not have empathy, but part of my job is to have your well being- well, so.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:11 PM","A: Stop being an irritating lump and get up.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:15 PM","C: What will getting up solve?","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:17 PM","A: I'm going to try- *screws up his face distastefully* one of those. Hug things. Because it helps you, for some wild reason. So do it before I change my mind.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:17 PM","C: *chuckles softly* You are kidding me.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:18 PM","A: *stony faced* You have five more seconds before I change my mind.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:18 PM","C: *stands up, walking over*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:19 PM","A: *most awkward attempt at a hug in existence*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:19 PM","C: *hug*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:19 PM","A: eghhhhok that's enough","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:19 PM","A: *backs off quickly, pushing Cal away from him*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:20 PM","C: Thank you, Alaric. *smiles*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:20 PM","A: *looks disgusted* Whatever, sure.","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 01:24 PM","C: *quiet sigh, thoughts returning to last night*","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 09:19 PM","C: Why is my face so hot","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 09:19 PM","A: *snerkily* Kate thinks your face is hot","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 09:20 PM","C: N-No","",""
"466037511043416074","Exhausted Bear#0573","23-May-19 09:20 PM","(Omg nooooo)","",""
"253371626496720897","Spring Bun •x•#9049","23-May-19 09:20 PM","C: *tomato*","",""
"466037511043416074","Exhausted Bear#0573","23-May-19 09:20 PM","(😂)","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:19 PM","*Alaric is lying on the floor, flipping a coin absentmindedly while thinking. Cal is also lying on the floor, daydreaming idly as he reads.*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:19 PM","A: So Cal, I've been wondering.","",""
